Features,Top10VsOthers,Top20VsOthers,Top30VsOthers,Top40VsOthers,Top50VsOthers,Top60VsOthers,Top70VsOthers,Top80VsOthers,Top90VsOthers
Orbital,1,1,1,1,1,1,1,1,1
Solar,10,10,10,10,10,10,10,10,10
TropAerDir,10,10,10,10,10,10,10,10,10
Ozone,10,10,10,10,10,10,10,10,10
StratAer,10,10,10,10,10,10,10,10,10
Land_Use,8,8,8,8,8,8,8,8,8
WMGHG,9,9,9,9,9,9,9,9,9
